MAIN DIMENSIONS Group 98; Version 3.0
Loa[m],150
B[m],17.998
H[m],7.999
Lpp[m],146.922
Lwl[m],148.5496
X midship aft[m],44.5174
X midship fwd[m],96.5277
Bilge Radius[m],5.2
DRAUGHT DATA
T moulded [m], 4.999
T aft [m], 4.999
T fwd [m], 4.999
heel [deg], 0
WATERLINE ENTRANCE ANGLE
Waterline Entrace angle [deg], 16.9618
Location of WEA [%Bwl], 30
XYZ location of WEA [m], 137.4849, -2.6997, 4.999
VOLUME RELATED DATA (MOULDED)
Buoyant Volume [m3], 6768.2001
Total Volume [m3], 13206.3682
COB [m], 76.0925, 0, 3.0154
COV Total [m], 72.9854, 0, 4.7243
Cb_pp [-], 0.5222
Cb_wl [-], 0.5165
DATA OF UNDERWATER AREAS (MOULDED)
Water Plane Area [m2], 2017.5507
COF [m], 70.9016, 0, 4.999
Inertia WPA around COF [m4], 39732.0789, 2.6534e+6, 2.6932e+6
Wetted Shell Area [m2], 2574.9138
Wetted Transom Area [m2], 1.9231
Am [m2], 74.1221
